Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m),phi
245,36,0,74,6338,407009395810,6.09935,0.351899,1.68487,0,0.05763062091546984,6.33756185339449,37.291130143697266
94,10,1,58,6793,407009395810,6.60032,0.377478,1.56004,1,0.05712863236064507,6.792675359862563,38.3613242220116
664,103,2,85,10817,407009395810,10.5949,0.602744,2.09479,2,0.056828757684835245,10.816808747668418,39.41675402050582
366,57,3,83,13452,407009395810,13.2627,0.751564,2.11844,3,0.056606955677891375,13.451834364490814,40.469574407511296
170,21,4,129,13092,407009395810,12.9746,0.727518,1.58973,4,0.05601382443059862,13.091858885323505,41.51271223709213
526,84,5,82,13296,407009395810,13.227,0.737506,1.13397,5,0.05569994270116273,13.295989322383498,42.55374655755922
530,81,6,102,13224,407009395810,13.1877,0.73255,0.64862,6,0.05549094575091802,13.22394678970314,43.594288588022586
639,95,7,115,11704,407009395810,11.6853,0.644979,0.14794,7,0.05513980839858331,11.704021541506194,44.63787817199942
569,80,8,73,11620,407009395810,11.5992,0.637792,-0.275908,8,0.05493054583070349,11.619997611864125,45.68028627323972
554,76,9,91,11663,407009395810,11.6245,0.633492,-0.703148,9,0.054442426846251196,11.662964008945925,46.72819956347727
290,30,10,98,9876,407009395810,9.81545,0.531783,-0.953118,10,0.054125241842444057,9.875944804600367,47.769090424884965
308,31,11,43,7239,407009395810,7.16422,0.387586,-0.961921,11,0.05404754867228569,7.238892396357126,48.818091980027
231,34,12,61,5661,407009395810,5.57118,0.300091,-0.957502,12,0.05381288587937512,5.660822491536456,49.869066832681305
0,0,0,0,0,0,0.0,0.0,0.0,13,0.0,0.0,0.0
50,16,14,33,3933,407009395810,3.81085,0.203676,-0.949532,14,0.053395540999322366,3.932641943337837,51.98603516224293
0,0,0,0,0,0,0.0,0.0,0.0,15,0.0,0.0,0.0
155,21,0,68,6357,407009493500,6.11968,0.315411,1.68993,16,0.05149487499185997,6.356558094300798,37.291084506230135
132,15,1,60,6760,407009493500,6.57043,0.335334,1.55245,17,0.05099259856746764,6.759667172202785,38.361364167816
651,102,2,86,10767,407009493500,10.5494,0.535237,2.08509,18,0.050692782989634616,10.766797077788222,39.416793911487
554,99,3,68,13425,407009493500,13.2404,0.668826,2.11418,19,0.05047113346301908,13.424800834674457,40.469580175086875
80,9,4,98,12875,407009493500,12.7637,0.637151,1.56335,20,0.04987758642592664,12.874861642336239,41.5127800793231
484,74,5,93,13404,407009493500,13.3387,0.661666,1.14319,21,0.04956435705042912,13.403939829828243,42.55371810079508
531,83,6,86,13329,407009493500,13.2967,0.656794,0.653774,22,0.049355149157876525,13.328954561086626,43.59428108940608
438,54,7,65,11796,407009493500,11.7809,0.577775,0.149104,23,0.049004102904562925,11.796001897399009,44.63787487095193
527,71,8,108,11676,407009493500,11.6588,0.56934,-0.277239,24,0.048794736685026596,11.675985052179579,45.68029025120782
571,80,9,100,11737,407009493500,11.702,0.565722,-0.707614,25,0.04830643410673343,11.737016782567876,46.72820307269089
284,29,10,98,9883,407009493500,9.82548,0.47188,-0.953794,26,0.047989279139636146,9.882937364935387,47.76909378768179
299,30,11,44,7212,407009493500,7.13973,0.342338,-0.958327,27,0.04791161733629195,7.211888131278314,48.81806949627205
212,31,12,69,5655,407009493500,5.56701,0.265619,-0.956485,28,0.047676887817832726,5.654822486027832,49.86905590079923
0,0,0,0,0,0,0.0,0.0,0.0,29,0.0,0.0,0.0
67,21,14,45,3944,407009493500,3.82268,0.180794,-0.952196,30,0.04725987502865898,3.943633613211552,51.98611057139149
0,0,0,0,0,0,0.0,0.0,0.0,31,0.0,0.0,0.0
173,24,0,128,6383,407009591480,6.14654,0.278993,1.69685,32,0.04535911842044407,6.382561475469625,37.29105265229525
288,37,1,66,6892,407009591480,6.7007,0.300777,1.58282,33,0.04485728866301306,6.8916737042701754,38.36113825127193
657,102,2,67,10739,407009591480,10.525,0.469273,2.07966,34,0.04455699815484017,10.738753552630259,39.41679149562965
