Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m),phi
438,103,4,113,4484,531000000000.0,4.4477,0.167185,0.543508,52,0.03757140227719478,4.483903105586583,41.518939089874344
389,101,5,80,4329,531000000000.0,4.31025,0.160659,0.368506,53,0.03725646057837734,4.328956346374609,42.558369701935106
322,82,6,98,4284,531000000000.0,4.27591,0.158483,0.209721,54,0.03704719876234469,4.283982503142374,43.59699089413932
746,105,7,80,6486,531000000000.0,6.48111,0.238072,0.0819154,55,0.03671670554210339,6.4859983997871264,44.63817972284393
55,10,8,89,1833,531000000000.0,1.83127,0.0667268,-0.0432797,56,0.036421332040089655,1.8329962932778479,45.67648107781328
0,0,0,0,0,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,63,0.0,0.0,0.0
829,113,0,116,8073,531000000000.0,7.77756,0.2575,2.14698,64,0.033095980759025014,8.072562723447865,37.28799354003277
831,111,1,113,8019,531000000000.0,7.80007,0.2543,1.84211,65,0.03259072780621185,8.01867381472772,38.35948505692618
762,120,2,84,5117,531000000000.0,5.01753,0.16192,0.989699,66,0.03225966298518295,5.116769439587932,39.42370364193001
763,119,3,100,5098,531000000000.0,5.03184,0.161242,0.801649,67,0.032033380249597794,5.097847966285872,40.47627326505072
509,107,4,122,4488,531000000000.0,4.45262,0.140016,0.543994,68,0.031435396784300886,4.487912523288751,41.51893905213677
360,97,5,91,4323,531000000000.0,4.30518,0.134022,0.367994,69,0.031120355359435636,4.3229568946405195,42.55837829307449
100,24,6,74,4155,531000000000.0,4.14802,0.128254,0.203388,70,0.030909482823106894,4.154983235520933,43.5971143348006
724,103,7,69,6509,531000000000.0,6.50543,0.199005,0.0822064,71,0.030581062212529993,6.508992269708573,44.63817709416076
54,10,8,65,1836,531000000000.0,1.83464,0.0555803,-0.043351,72,0.03028567228657238,1.8359935753016923,45.67648934724671
0,0,0,0,0,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,74,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,75,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,76,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,77,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,78,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0
823,113,0,126,8079,531000000000.0,7.78477,0.209929,2.14858,80,0.026960094578041088,8.078558668125213,37.2879739782417
820,110,1,87,8017,531000000000.0,7.79954,0.206383,1.84165,81,0.026454746278834273,8.016675924395908,38.359488837424884
717,118,2,86,5124,531000000000.0,5.02529,0.13131,0.991056,82,0.02612389085376079,5.123765597227882,39.42368207316332
771,119,3,100,5104,531000000000.0,5.03866,0.130518,0.802595,83,0.025897524344629934,5.103850338513954,40.47626125901819
446,103,4,132,4488,531000000000.0,4.45339,0.112693,0.543994,84,0.025299593162316242,4.487907271366577,41.51893495829637
374,100,5,102,4274,531000000000.0,4.25711,0.106381,0.363811,85,0.024983818846758484,4.273951440175941,42.55845488148902
96,23,6,73,4111,531000000000.0,4.1048,0.101709,0.201228,86,0.02477299572036244,4.110987772867368,43.597159025642945
634,98,7,103,6498,531000000000.0,6.49554,0.158815,0.0820672,87,0.02444498302800773,6.497999470694103,44.63817870178611
52,9,8,66,1915,531000000000.0,1.9139,0.0462387,-0.0452288,88,0.0241547139299497,1.9149926557893453,45.676676312666885
0,0,0,0,0,0.0,0.0,0.0,0.0,89,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,90,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,91,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,93,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,94,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0
