Angle,Range
-17.58891342,2.13540313
,0
,0
,0
,0
,0
,0
,0
-17.68456065,9.064739476
-17.69888843,11.1490118
-17.70791335,10.49819455
-17.71438783,11.11346522
-17.73146462,9.302606634
-17.74039781,10.09106958
-17.74639117,10.17572507
-17.75674322,6.53347476
-17.76467878,2.15339337
,0
,0
,0
,0
,0
,0
,0
-17.86034799,8.950036228
-17.87465627,11.19670136
-17.88370434,10.50898145
-17.89014653,11.17666898
-17.90713838,11.12499611
-17.91619829,9.911734949
-17.92254346,6.484183184
-17.9325377,6.500477626
-17.94043624,2.155393111
,0
,0
,0
,0
,0
,0
,0
-18.03611038,9.004974678
-18.05044561,11.2901209
-18.0594744,10.4972056
-18.06592778,11.24579098
-18.08290729,11.26197032
-18.092087,8.599539876
-18.09797784,9.840136716
-18.1082986,6.504474823
-18.11631142,2.147394827
,0
,0
,0
,0
,0
,0
,0
-18.21190929,9.001126799
-18.22621805,11.3436511
-18.23526337,10.49426893
-18.24169491,11.30899131
-18.25868997,11.31854823
-18.26786003,8.644371032
-18.27383727,8.669545099
-18.28405279,6.524478508
-18.292079,2.16238889
,0
,0
,0
,0
,0
,0
,0
-18.38766685,9.033892304
-18.40199896,11.42442756
-18.41105238,10.53056566
-18.41746998,11.42057613
-18.43447094,11.39002
-18.44363,8.745000402
-18.44963677,8.67553714
-18.45983651,6.540476468
-18.46783931,2.151391418
,0
,0
,0
,0
,0
,0
,0
-18.56328623,11.48889128
-18.57776326,11.53828337
-18.58682028,10.54724621
-18.59325498,11.47686523
-18.61024213,11.47339279
-18.61941405,8.77588793
-18.62541584,8.701506317
-18.63529285,10.14518408
-18.64366868,2.090415481
,0
,0
,0
,0
,0
,0
,0
-18.73923227,9.067631483
-18.75353767,11.58694449
-18.76258543,10.57078531
-18.76904435,11.55783796
-18.78600877,11.56471631
-18.79517203,9.057860058
-18.80117183,8.759433725
-18.81105561,10.12718675
-18.81927187,2.173387573
,0
,0
,0
,0
,0
,0
,0
-18.91502549,9.101361916
-18.92932927,11.58013429
-18.93839212,10.66104017
-18.9448064,11.65165126
-18.96178081,11.65107007
-18.97086855,10.13790386
-18.97686737,10.03489336
-18.9868716,9.80921038
-18.99512625,2.141399374
,0
,0
,0
,0
,0
,0
,0
-19.09078973,9.149555523
-19.10512811,11.45653673
-19.11415579,10.6806657
-19.12058273,11.6141281
-19.13755469,11.75429895
-19.14665991,10.12992791
-19.15264957,10.04388774
-19.1626138,10.16018537
-19.17091876,2.162385533
,0
,0
,0
,0
,0
,0
,0
-19.26641475,11.37515472
-19.28092887,11.11495597
-19.28993144,10.86705726
-19.29638565,11.51933146
-19.31335239,11.8178189
-19.32242669,10.1657956
-19.32842563,10.0768465
-19.33841487,10.17218009
-19.34663272,2.182385015
,0
,0
,0
,0
,0
,0
,0
-19.44219625,11.35008874
-19.45672056,10.78504712
-19.46566895,11.54397093
-19.472153,11.50056677
-19.48911878,11.87936574
-19.49821014,10.168785
-19.50422079,10.07584766
-19.51420827,10.18018338
-19.52244716,2.169386884
,0
,0
,0
,0
,0
,0
,0
-19.61798567,11.29225721
-19.63250196,10.74612578
-19.64144458,11.51061035
-19.64793101,11.48476721
-19.66489777,11.98854737
-19.67400106,10.1946919
-19.67997952,10.08284049
-19.68996355,10.19717947
-19.69822,2.180381532
,0
,0
,0
,0
,0
,0
,0
-19.79377178,11.23442514
-19.80827172,10.71789879
-19.81724489,11.44684258
-19.82371726,11.47785604
-19.84067067,12.05008996
-19.84976106,10.25248238
-19.8557531,10.09482661
-19.86574398,10.22418105
-19.87405249,2.180388499
,0
,0
,0
,0
,0
,0
,0
-19.96956456,11.1804476
-19.9840797,10.57386971
-19.9930166,11.42133557
-19.99951432,11.45613057
-20.01645409,12.16323955
-20.02554228,10.29731976
-20.0315415,10.11580183
-20.04154058,10.22218236
-20.04981728,2.174381662
,0
,0
,0
,0
,0
,0
,0
-20.1453389,11.13610973
-20.15986001,10.56316573
-20.16878922,11.43212736
-20.17529125,11.43637844
-20.19223458,12.25952322
-20.20132187,10.37004974
-20.20732493,10.16973864
-20.21729807,10.2681766
-20.22556156,2.18338761
,0
,0
,0
,0
,0
,0
,0
-20.32112174,11.06670579
-20.3356403,10.52520684
-20.3445815,11.43997673
-20.35106336,11.46007637
-20.36801553,12.34190639
-20.37709009,10.5503853
-20.38309826,10.18671686
-20.39309896,10.30417339
-20.40143297,2.192381107
,0
,0
,0
,0
,0
,0
,0
-20.49691252,11.0040633
-20.5114307,10.53007318
-20.5203616,11.41151981
-20.52684205,11.4739061
-20.54378767,12.44811758
-20.55286913,10.66198554
-20.5588804,10.26362471
-20.56887089,10.37416898
-20.57704053,2.200380317
,0
,0
,0
,0
,0
,0
,0
-20.67269919,10.96454118
-20.68720237,10.54369981
-20.69613586,11.42133697
-20.70263855,11.48673847
-20.71957198,12.53943305
-20.72863699,11.09439463
-20.73466506,10.37348602
-20.7446399,10.57115838
-20.75282864,2.209375685
,0
,0
,0
,0
,0
,0
,0
-20.84847703,10.91345749
-20.86298466,10.55927059
-20.87192964,11.49687657
-20.87840627,11.48575126
-20.89534237,12.64166814
-20.90438558,11.33252638
-20.91042832,10.50433438
-20.92041155,10.63314141
-20.92859165,2.234367283
,0
,0
,0
,0
,0
,0
,0
-21.02427766,10.86718889
-21.03876378,10.57581558
-21.04770859,11.52532403
-21.05418997,11.49859215
-21.07111448,12.75681166
-21.08016972,11.41521575
-21.08618334,10.8409274
-21.09617743,10.99412006
-21.10433704,2.244368168
,0
,0
,0
,0
,0
,0
,0
-21.20006078,10.83056084
-21.21453142,10.58651963
-21.22347911,11.5586823
-21.22997015,11.53315572
-21.24690303,12.83621793
-21.25593862,11.49293396
-21.26194626,11.37926817
-21.27194227,11.04711669
-21.28025924,2.249365288
,0
,0
,0
,0
,0
,0
,0
-21.37583074,10.77562244
-21.39032269,10.59527359
-21.39925744,11.58320851
-21.40574387,11.62795005
-21.42267164,12.94936508
-21.43174314,11.54873215
-21.43771186,11.43620608
-21.44771389,11.47207469
-21.45594091,2.244369396
,0
,0
,0
,0
,0
,0
,0
-21.55162373,10.73803196
-21.56611385,10.54856649
-21.57504079,11.7597923
-21.58151609,11.84421408
-21.59845445,13.0784051
-21.60749175,11.57862319
-21.61349122,11.50611961
-21.62347764,11.53107483
-21.63173254,2.24637147
,0
,0
,0
,0
,0
,0
,0
-21.72738747,10.68212324
-21.74189463,10.60695668
-21.75078175,12.54069062
-21.75724211,13.19116878
-21.77422939,13.1637642
-21.78329241,11.69917889
-21.78926882,11.59002035
-21.79926534,11.62407003
-21.80746907,2.251364533
,0
,0
,0
,0
,0
,0
,0
-21.90318266,10.63103398
-21.91765284,10.58554611
-21.92656864,12.57305999
-21.93302504,13.26325377
-21.94999728,13.27394958
-21.95904993,11.73106243
-21.96505169,11.70588132
-21.97503239,11.70806192
-21.98326493,2.248364266
,0
,0
,0
,0
,0
,0
,0
-22.07896832,10.5857327
-22.09344756,10.56608073
-22.10233088,12.64565936
-22.10878836,13.37582544
-22.12579462,13.35732595
-22.13483671,11.76693698
-22.14082268,11.76281142
-22.15081872,11.79205121
-22.15908593,2.263361579
,0
,0
,0
,0
,0
,0
,0
-22.25475953,10.53754287
-22.26922663,10.55732657
-22.27811435,12.52401456
-22.2845418,14.62005832
-22.30146078,19.14113313
-22.31061624,11.85162318
-22.31662103,11.85969648
-22.32660882,11.85704732
-22.33487167,2.263366198
,0
,0
,0
,0
,0
,0
,0
-22.43052719,10.50284347
-22.4450083,10.62738902
-22.45390178,12.59857319
-22.46024913,14.57461616
-22.47727474,19.16493325
-22.48638805,11.92037211
-22.49239208,11.92860898
-22.50237779,11.92703882
-22.51063174,2.267359263
,0
,0
,0
,0
,0
,0
,0
-22.60631593,10.46622117
-22.62078931,10.59235575
-22.62964547,13.52661747
-22.63614156,14.50752009
-22.65315698,15.62042416
-22.66217337,12.1325982
-22.66817269,12.08042747
-22.6781555,12.22901892
-22.68640527,2.272356958
,0
,0
,0
,0
,0
,0
,0
-22.78210917,10.41705771
-22.79644604,13.07784814
-22.80545598,12.64369603
-22.81198576,14.41466083
-22.82889179,15.57081033
-22.83795189,15.57298912
-22.84393169,12.13636139
-22.85392776,12.22002059
-22.86224157,2.269357789
,0
,0
,0
,0
,0
,0
,0
-22.95788994,10.38139195
-22.97223766,13.04183916
-22.9812294,12.65546841
-22.98772354,14.36730989
-23.00456053,15.53408043
-23.01365066,15.54711017
-23.01972217,12.14935129
-23.0297259,12.18802243
-23.0379249,2.289357728
,0
,0
,0
,0
,0
,0
,0
-23.13366983,10.33224032
-23.14802624,12.96982503
-23.15693445,14.02104586
-23.16339327,14.32675564
-23.18047047,15.4665962
-23.18942507,15.47732148
-23.19551019,12.04547214
-23.20549345,12.1240238
-23.21371132,2.281360663
,0
,0
,0
,0
,0
,0
,0
-23.30945515,10.2878998
-23.32379939,12.90850812
-23.33274114,14.06814735
-23.33919087,14.2398646
-23.3561125,15.41792273
-23.36518555,15.41552272
-23.37129669,12.12038094
-23.38127251,12.17702758
-23.38951542,2.29135261
-23.40786886,0.862445702
,0
,0
,0
,0
,0
,0
-23.48524151,10.26379863
-23.49957998,12.85790794
-23.50848282,14.48310942
-23.51504394,14.19151755
-23.53197396,15.36535767
-23.54085384,15.36475172
-23.54706593,12.1463424
-23.55705963,12.23301491
-23.56527451,2.303352127
,0
,0
,0
,0
,0
,0
,0
-23.66101697,10.20500773
-23.67537742,12.81801105
-23.68436375,14.55280592
-23.69085079,14.13326575
-23.70783644,15.30676659
-23.71669423,15.29698777
-23.72284488,15.17369584
-23.73271854,15.28072139
-23.74103663,2.296348197
,0
,0
,0
,0
,0
,0
,0
-23.83679699,10.17030706
-23.85114316,12.77616227
-23.86014697,12.8683517
-23.86657648,14.06015303
-23.88355115,15.24029394
-23.89247844,15.24017025
-23.89851615,15.2265926
-23.90860522,15.24278469
-23.91678104,2.306347472
,0
,0
,0
,0
,0
,0
,0
-24.01258659,10.13657158
-24.02692025,12.72555806
-24.03590992,12.8320541
-24.04233741,14.02262973
-24.05928244,15.1826413
-24.0682832,15.18346848
-24.07435163,15.19065601
-24.0842586,15.19682388
-24.09263795,2.32334511
,0
,0
,0
,0
,0
,0
,0
-24.18837884,10.11054152
-24.20272126,12.65159977
-24.21170802,12.74179967
-24.21817932,14.00191182
-24.23509891,15.12708283
-24.24409914,15.14557814
-24.25014066,15.1327381
-24.26003667,15.14680255
-24.26837832,2.338344327
,0
,0
,0
,0
,0
,0
,0
-24.36418874,9.805959244
-24.37849927,12.60975333
-24.38749277,12.68980725
-24.39388386,14.03052116
-24.41083056,15.0764509
-24.41986652,15.08278615
-24.42592454,15.08783395
-24.43584892,15.08579129
-24.44414939,2.35933274
,0
,0
,0
,0
,0
,0
,0
-24.53995072,9.762583576
-24.55428765,12.57276503
-24.56326131,12.66429681
-24.56969374,14.76523866
-24.58663306,15.02385208
-24.59561996,15.01700743
-24.60162002,15.02486015
-24.6116956,15.04182661
-24.61986648,2.38932573
,0
,0
,0
,0
,0
,0
,0
-24.71574715,9.723063335
-24.73006955,12.53870698
-24.73904567,12.66233517
-24.74546956,14.93114752
-24.76242688,14.99012187
-24.77142928,14.98413266
-24.77738827,14.98988517
-24.78745715,15.01482153
-24.79563229,2.386322269
,0
,0
,0
,0
,0
,0
,0
-24.89152731,9.747158586
-24.90585145,12.49589212
-24.91484338,12.64860098
-24.9212973,15.04967459
-24.93822547,15.06754805
-24.94719577,15.06383509
-24.95318735,15.10575793
-24.96322019,15.11280638
-24.97141921,2.393328125
,0
,0
,0
,0
,0
,0
,0
-25.06735631,9.019434869
-25.08163232,12.45014544
-25.09060756,12.60248989
-25.09695462,15.24611311
-25.1139903,15.21345351
-25.12297787,15.20532031
-25.12900574,15.24362578
-25.13898648,15.25078347
-25.14719628,2.384325613
,0
,0
,0
,0
,0
,0
,0
-25.24316993,8.918226291
-25.25742117,12.41025187
-25.26640426,12.6024904
-25.27282473,15.40515547
-25.28974984,15.42187833
-25.29877492,15.44545191
-25.3048287,15.40744727
-25.31470072,15.4407324
-25.32298796,2.3913192
,0
,0
,0
,0
,0
,0
,0
-25.41893992,8.944258896
-25.43321006,12.37618797
-25.44218512,12.67018323
-25.44858462,15.58783806
-25.46561786,15.54502018
-25.47458177,15.53115827
-25.48056307,15.58221579
-25.49056724,15.58076578
-25.49877837,2.389324804
,0
,0
,0
,0
,0
,0
,0
-25.59471185,9.011728905
-25.60898317,12.31682637
-25.61795634,12.77613122
-25.6243078,16.63060595
-25.64128104,17.94909077
-25.65022032,17.8506809
-25.65632986,17.94038488
-25.66618058,17.94057039
-25.67462379,2.381328181
-25.69305823,0.859451506
,0
,0
,0
,0
,0
,0
-25.77050179,9.130283421
-25.78476723,12.29249936
-25.7938019,12.78499685
-25.80014064,16.79948792
-25.8171041,17.90440185
-25.82606823,17.87650719
-25.83208332,17.90043861
-25.84205335,17.88251461
-25.85032365,2.395323431
,0
,0
,0
,0
,0
,0
,0
-25.94624779,9.149560388
-25.96055844,12.26330197
-25.9694806,14.65972583
-25.97579386,17.04338525
-25.99279115,17.82889698
-26.00172639,17.8207452
-26.00784852,17.83553352
-26.01792713,17.84357406
-26.02618019,2.363332087
,0
,0
,0
,0
,0
,0
,0
-26.12201647,9.299924067
-26.13632883,12.22144852
-26.14525511,14.67345938
-26.15155618,17.2823802
-26.1686483,17.78034213
-26.17772501,17.77094421
-26.18357292,17.79251745
-26.19361946,17.79553571
-26.20196135,2.365335977
,0
,0
,0
,0
,0
,0
,0
-26.29786628,8.897988988
-26.31210559,12.18934313
-26.32101429,14.56847858
-26.32745041,17.51442238
-26.3444296,17.71182522
-26.35333611,17.73704436
-26.35942936,17.72763664
-26.36940296,17.72055325
-26.37771303,2.36233651
,0
,0
,0
,0
,0
,0
,0
-26.47362309,8.880639226
-26.48789588,12.1601441
-26.49677688,14.60376947
-26.50328561,17.62504096
-26.5201995,17.66714165
-26.52927816,17.6982138
-26.53523137,17.65766957
-26.54511133,17.67160428
-26.55349183,2.364328192
,0
,0
,0
,0
,0
,0
,0
-26.64941148,8.874850479
-26.66368372,11.9119866
-26.672629,14.50375426
-26.67900511,17.61807938
-26.69594448,17.627404
-26.70502294,17.63845054
-26.71096087,17.61568848
-26.72101504,17.61160099
-26.72925021,2.384327164
,0
,0
,0
,0
,0
,0
,0
-26.82518425,8.990518645
-26.83950885,11.35629916
-26.84829485,14.50564699
-26.85473492,17.56183784
-26.87177496,17.56880697
-26.8806637,17.58960744
-26.88667601,17.57078731
-26.89668217,17.58661834
-26.90507626,2.393326579
,0
,0
,0
,0
,0
,0
,0
-27.00096868,9.06570551
-27.01528709,11.3047261
-27.02418171,14.4645016
-27.03058716,17.64478969
-27.04753173,17.71871285
-27.0565801,17.70614613
-27.06248446,17.73559356
-27.07254751,17.73960345
-27.08076804,2.41831784
,0
,0
,0
,0
,0
,0
,0
-27.17670801,9.346192191
-27.19107473,11.09159215
-27.19986935,14.42814823
-27.20635487,16.23759833
-27.22335076,17.90836791
-27.23225766,17.91839942
-27.23822484,17.91536589
-27.24829774,17.95656672
-27.25649463,2.429311555
-27.27506528,0.862445267
,0
,0
,0
,0
,0
,0
-27.35249829,9.418479796
-27.36690086,10.44444098
-27.37566053,14.32710505
-27.3821796,16.22676837
-27.39902264,18.9981895
-27.4080987,18.57892411
-27.41407339,18.21603917
-27.42408715,18.1785321
-27.43227942,2.433314851
,0
,0
,0
,0
,0
,0
,0
-27.52823838,9.696077757
-27.54266511,10.42594406
-27.55149937,14.10345819
-27.55790318,17.47791142
-27.57479441,19.65925036
-27.58380445,18.99548957
-27.58983919,18.3518605
-27.59976608,18.43950619
-27.60804782,2.445314456
,0
,0
,0
,0
,0
,0
,0
-27.70404269,9.696076395
-27.71846988,10.49309762
-27.72729842,13.79739723
-27.73365354,17.51244216
-27.75061455,19.97091899
-27.75955266,18.97951606
-27.7656718,19.83707849
-27.7756057,18.73744627
-27.7838664,2.450305252
,0
,0
,0
,0
,0
,0
,0
-27.87982396,9.531253984
-27.89422814,10.83759887
-27.90305036,13.3470687
-27.90945462,17.45617423
-27.92644066,20.16942991
-27.93538188,19.04033847
-27.94140471,20.1576996
-27.95139104,18.93350514
-27.95963158,2.459309394
,0
,0
,0
,0
,0
,0
,0
-28.05562485,9.236307482
-28.06999312,10.92712606
-28.07887222,13.25781967
-28.0852625,17.41077606
-28.10222866,20.50497126
-28.11115582,19.16985103
-28.11717935,20.41733938
-28.12714678,19.221508
-28.13542578,2.476301513
,0
,0
,0
,0
,0
,0
,0
-28.2314179,9.265223652
-28.24579205,10.59041711
-28.25462928,12.83791481
-28.2610401,17.36533595
-28.2779178,20.83450937
-28.28699272,20.8227235
-28.29289365,20.77293106
-28.30302623,19.52842575
-28.31119423,2.476304476
,0
,0
,0
,0
,0
,0
,0
-28.40718373,9.254624506
-28.4216049,10.40259081
-28.4304514,13.0802579
-28.436765,17.33072651
-28.45367164,21.13922041
-28.46273653,21.08975363
-28.46867753,21.12854921
-28.47878787,19.75241628
-28.48697235,2.481301778
,0
,0
,0
,0
,0
,0
,0
-28.58297648,9.233418962
-28.59737829,10.42302504
-28.60623102,13.04199282
-28.61259358,17.2952182
-28.62948121,21.38532255
-28.63846497,21.35284141
-28.64455612,21.35824443
-28.65454079,20.12342255
-28.66269615,2.486296044
,0
,0
,0
,0
,0
,0
,0
-28.75874573,9.234378292
-28.77313507,10.60696139
-28.7819479,12.94090988
-28.78837691,17.2517706
-28.80524401,21.32087372
-28.81429143,21.307961
-28.82034045,21.31730329
-28.83027996,20.46233487
-28.83855033,2.480296385
,0
,0
,0
,0
,0
,0
,0
-28.93451663,9.330771412
-28.94891156,10.80159521
-28.95776879,12.82418987
-28.96414758,17.21226241
-28.98099402,21.2751891
-28.99003036,21.27912953
-28.99601051,21.29132944
-29.00598907,20.70932793
-29.0143347,2.477304523
,0
,0
,0
,0
,0
,0
,0
-29.1101574,11.64792266
-29.12469291,10.88236276
-29.13361445,12.83993676
-29.14003898,13.97425799
-29.15705151,13.95091788
-29.16603329,13.96490337
-29.1719988,13.98413892
-29.18198605,13.98888659
-29.19006701,2.474302001
,0
,0
,0
,0
,0
,0
,0
-29.28593077,11.59009729
-29.30046256,10.93978004
-29.30933432,12.46707775
-29.3158287,13.97723277
-29.332809,13.95883971
-29.34179551,13.96390053
-29.34780335,13.97616405
-29.35774005,13.98585504
-29.36585418,2.470300514
-29.38456828,0.847472383
,0
,0
,0
,0
,0
,0
-29.46171838,11.60165996
-29.4762449,10.96022218
-29.4851556,12.42198174
-29.49161563,14.2260967
-29.50859705,14.23677747
-29.51757509,13.93100329
-29.52350674,13.95912415
-29.53350823,13.96984287
-29.54165854,2.467306388
-29.56031959,0.849469428
,0
,0
,0
,0
,0
,0
-29.63750619,11.57853425
-29.65202254,10.99623038
-29.66088023,12.50828285
-29.66734138,14.39985967
-29.68430908,14.25557956
-29.69335167,13.91107127
-29.6993024,13.915171
-29.70937807,13.93992317
-29.71744518,2.471302979
,0
,0
,0
,0
,0
,0
,0
-29.81328995,11.55732172
-29.82781404,10.84636206
-29.83668846,12.91346539
-29.84314132,14.46503586
-29.86011836,14.4452061
-29.86910197,13.89910666
-29.87508052,13.87623023
-29.88514836,13.90591038
-29.89324882,2.478301852
,0
,0
,0
,0
,0
,0
,0
-29.9890824,11.53708546
-30.00358692,10.80256278
-30.0124724,12.97626638
-30.01887571,14.94099427
-30.03589988,14.94845745
-30.04491134,13.87619561
-30.05089391,13.86426281
-30.06093585,13.87392539
-30.06902572,2.485299087
,0
,0
,0
,0
,0
,0
,0
-30.16485761,11.44550957
-30.17935773,10.80645585
-30.18826232,12.43079893
-30.19463925,15.55620122
-30.21166136,15.36433561
-30.22073181,13.84534132
-30.22669078,13.82531678
-30.23667573,13.84488231
-30.24472897,2.498296271
,0
,0
,0
,0
,0
,0
,0
-30.34061402,11.47826354
-30.35513939,10.85122223
-30.36405651,12.39548876
-30.37041966,16.02133614
-30.38740857,15.70972972
-30.39648959,13.81145701
-30.40249233,13.80136279
-30.41251119,13.81493041
-30.42056348,2.505290338
,0
,0
,0
,0
,0
,0
,0
-30.51644375,11.46385272
-30.53091088,11.18405539
-30.53987583,12.3817871
-30.54615674,16.30569471
-30.56322326,15.99862953
-30.57223627,13.78152231
-30.57825866,13.76839595
-30.58819565,13.78985083
-30.59630196,2.51928547
-30.61472499,0.884405109
,0
,0
,0
,0
,0
,0
-30.69217395,11.44839679
-30.70669642,11.44876326
-30.71565532,12.32879999
-30.7220069,16.3413136
-30.73894984,16.37873841
-30.74801328,13.74865693
-30.75401291,13.74140476
-30.76406983,13.77393932
-30.77212742,2.52228937
,0
,0
,0
,0
,0
,0
,0
-30.8679381,11.42812981
-30.88246192,11.43318956
-30.89137517,12.29048746
-30.89779832,16.29392436
-30.9147773,16.74703506
-30.92383293,13.72876392
-30.92980246,13.72541905
-30.93979976,13.75188481
-30.94780094,2.525284509
,0
,0
,0
,0
,0
,0
,0
-31.04378716,11.41372571
-31.0582597,11.40886325
-31.06715242,12.24733153
-31.07360665,13.66316515
-31.09051738,17.12816061
-31.09956465,13.7107823
-31.10561913,13.70948103
-31.1155859,13.72188683
-31.12365321,2.519283947
,0
,0
,0
,0
,0
,0
,0
-31.21953774,11.3982849
-31.2340406,11.37869819
-31.24293263,12.22475811
-31.24940821,13.66615819
-31.26627798,17.45967584
-31.27540434,13.67097951
-31.28142623,13.68052931
-31.29141782,13.66994236
-31.29944654,2.516291573
-31.31796454,0.871428549
,0
,0
,0
,0
,0
,0
-31.3953886,11.36940692
-31.4097884,11.35433028
-31.41873364,12.18749698
-31.42520471,13.62862679
-31.44215468,13.62629284
-31.45116353,13.63308605
-31.45711031,13.63051529
-31.4671874,13.64693064
-31.47518316,2.513291658
,0
,0
,0
,0
,0
,0
,0
-31.57109816,11.33466473
-31.5855917,11.33490074
-31.59450091,12.15608859
-31.60100627,13.59408189
-31.61786556,18.21010656
-31.62689859,13.6270778
-31.6329632,13.61957813
-31.64294487,13.62491365
-31.65097162,2.508298124
,0
,0
,0
,0
,0
,0
,0
-31.74692235,11.27685007
-31.76132213,11.27257301
-31.77029877,12.13157936
-31.77677813,13.53681335
-31.79364074,18.59028318
-31.80270861,13.59123462
-31.80873235,13.59260743
-31.81875516,13.59594176
-31.82675955,2.512289846
,0
,0
,0
,0
,0
,0
,0
-31.92262365,11.29993726
-31.93714997,11.27941626
-31.94613262,12.09140845
-31.95258555,13.51313014
-31.96955727,13.55886049
-31.97855807,13.57135853
-31.98453367,13.57665303
-31.99450821,13.57990907
-32.00256974,2.519287877
,0
,0
,0
,0
,0
,0
,0
-32.09849203,11.29228784
-32.11294404,11.2794304
-32.12192229,12.07570216
-32.12835846,13.48743966
-32.14532768,13.55983887
-32.15427315,13.55436115
-32.16031006,13.54666281
-32.17029905,13.56192146
-32.17835982,2.525285808
,0
,0
,0
,0
,0
,0
,0
-32.27417701,11.2690839
-32.28872435,11.26968413
-32.29769108,12.06098896
-32.30411132,13.4735915
-32.32110949,13.54294797
-32.33004464,13.53242731
-32.33604656,13.53163833
-32.34608153,13.53293588
-32.35409729,2.533281044
,0
,0
,0
,0
,0
,0
,0
-32.45006314,11.24794659
-32.46453479,11.26096407
-32.47344072,12.04427886
-32.47990546,13.46175521
-32.49690151,13.51022003
-32.50586835,13.51652308
-32.51181572,13.51664982
-32.52181519,13.51687993
-32.52987801,2.5342872
,0
,0
,0
,0
,0
,0
,0
-32.62580176,11.22671926
-32.64024338,11.26187255
-32.64920544,12.00598896
-32.65557713,16.63754625
-32.67262599,13.48634303
-32.68163549,13.49858914
-32.68760152,13.49169012
-32.6976013,13.50889035
-32.70564784,2.531281241
,0
,0
,0
,0
,0
,0
,0
-32.80156231,11.21415461
-32.81603837,11.26966
-32.8250272,11.98053828
-32.83145084,13.41434372
-32.84846015,13.47943165
-32.85746903,13.46874175
-32.86346262,13.4687871
-32.8733873,13.49289771
-32.88143699,2.534286436
,0
,0
,0
,0
,0
,0
,0
-32.97736628,11.21707487
-32.99181892,11.27257509
-33.00083987,11.9609345
-33.00725362,13.36794309
-33.02423889,13.43674821
-33.03317406,13.44374946
-33.03919108,13.45376453
-33.04920425,13.46393029
-33.05719353,2.531290729
,0
,0
,0
,0
,0
,0
,0
-33.15311375,11.20741473
-33.16766561,11.25219384
-33.1765547,11.94812714
-33.18299426,13.35309169
-33.20000322,13.42481421
-33.20902203,13.42689672
-33.21497315,13.43178931
-33.22548239,6.482480869
-33.23305282,2.532285294
,0
,0
,0
,0
,0
,0
,0
-33.32893269,11.19973987
-33.34344592,11.24052277
-33.35237557,11.91872419
-33.35875322,13.35405843
-33.3757656,13.39701397
-33.38479616,13.40695348
-33.39078235,13.41282424
-33.40124364,6.561479618
-33.40875055,2.537281179
,0
,0
,0
,0
,0
,0
,0
-33.50475043,11.17373378
-33.51921221,11.2385691
-33.52815426,11.8853706
-33.53446579,16.51902828
-33.55157373,13.36627158
-33.5605268,13.38198296
-33.56658665,13.39587444
-33.57702102,6.557470285
-33.58457282,2.528290604
,0
,0
,0
,0
,0
,0
,0
-33.6805451,11.15446215
-33.69497469,11.22686555
-33.70389299,11.87159754
-33.71036367,13.37879567
-33.72732425,13.33446897
-33.73628926,13.37799049
-33.74231782,13.3848338
-33.75280906,6.563478818
-33.76031731,2.539281481
-33.77942181,0.809541938
,0
,0
,0
,0
,0
,0
-33.85626622,11.14187981
-33.87076571,11.21909625
-33.87966348,11.86373674
-33.88602568,16.5180172
-33.90315037,13.3087143
-33.91209122,13.28931064
-33.91811964,13.31894508
-33.92859161,6.577477216
-33.9361402,2.534289259
-33.95506155,0.828507522
,0
,0
,0
,0
,0
,0
-34.03202944,11.12740043
-34.04659202,11.21426073
-34.05551356,11.8530067
-34.06180082,16.51505188
-34.07888005,13.31560329
-34.08792921,13.29237418
-34.09393159,13.3399448
-34.10437367,6.578471008
-34.1119238,2.523291265
,0
,0
,0
,0
,0
,0
,0
-34.20784577,11.11490768
-34.22227025,11.19763605
-34.23123641,11.81763924
-34.23758493,16.49530481
-34.25447873,22.71442361
-34.26371449,13.27046424
-34.26966982,13.32493091
-34.28015116,6.57947107
-34.28766071,2.560278939
,0
,0
,0
,0
,0
,0
,0
-34.38361179,11.09753652
-34.39806854,11.19179075
-34.40702278,11.79016896
-34.41341488,16.48451989
-34.43046572,13.28486735
-34.43943443,13.24348825
-34.44544858,13.30694485
-34.45592198,6.5734688
-34.4634318,2.560275545
,0
,0
,0
,0
,0
,0
,0
-34.55942487,11.08504601
-34.57391931,11.17921626
-34.58285921,11.75588135
-34.58914792,16.45581106
-34.60624434,13.25110654
-34.61527447,13.23059159
-34.62123341,13.26098911
-34.63172721,6.571470506
-34.63918983,2.579271577
,0
,0
,0
,0
,0
,0
,0
-34.73519854,11.07250218
-34.74964183,11.18208599
-34.75863698,11.75294806
-34.76493822,16.43211099
-34.78206726,13.23229274
-34.79101777,13.295309
-34.79703964,13.28199904
-34.8075058,6.559478605
-34.81499679,2.567276336
-34.83360925,0.868434934
,0
,0
,0
,0
,0
,0
-34.9110087,11.06095926
-34.92547464,11.15488211
-34.93438262,11.74504263
-34.9407482,16.42031475
-34.95760396,22.59532483
-34.96682001,13.28239641
-34.97282386,13.27701533
-34.98327556,6.527479566
-34.99074951,2.572271137
,0
,0
,0
,0
,0
,0
,0
-35.08672941,10.826664
-35.10121851,11.16458057
-35.11022134,11.72548524
-35.11651893,16.39857042
-35.13340774,22.54771098
-35.14256336,13.28035444
-35.14854152,13.27394456
-35.15861497,12.76100141
-35.16657664,2.5552812
,0
,0
,0
,0
,0
,0
,0
-35.26262676,9.497516931
-35.27700353,11.16457516
-35.28596155,11.65185951
-35.29232249,16.36501965
-35.30941059,13.17373279
