Angle,Range
-4.054184489,1.873468945
-4.072116721,0.843479845
,0
,0
,0
,0
,0
,0
-4.149489664,8.151944221
-4.1639714,8.148716012
-4.172961765,8.16139103
-4.179693684,6.263859551
-4.196688063,6.101522093
-4.205705638,5.927328981
-4.211747575,5.634209908
-4.221972367,4.635630235
-4.229955399,1.88047133
,0
,0
,0
,0
,0
,0
,0
-4.32525852,8.161584941
-4.339734803,8.17498979
-4.348740512,8.175119493
-4.355477232,6.25694417
-4.372475316,6.097544485
-4.381490785,5.900425559
-4.387540982,5.60923712
-4.397749201,4.648625991
-4.40593779,1.776498633
,0
,0
,0
,0
,0
,0
,0
-4.501061411,8.18279117
-4.515522179,8.194453067
-4.52452301,8.190812288
-4.531260497,6.270767668
-4.5482541,6.099531097
-4.55727283,5.899428405
-4.563226387,6.088658262
-4.573524581,4.66762539
-4.581681536,1.790499827
,0
,0
,0
,0
,0
,0
,0
-4.676824488,8.203027737
-4.691296783,8.216837028
-4.700290001,8.215337812
-4.707049571,6.295457594
-4.724039719,6.176951833
-4.733030882,6.015005172
-4.73898683,6.144589931
-4.749261258,4.823612415
-4.757273506,1.889472212
,0
,0
,0
,0
,0
,0
,0
-4.852611214,8.226161946
-4.8670651,8.235324563
-4.876056025,8.233982565
-4.882834412,6.283611352
-4.899526275,8.123414831
-4.908761622,6.401586134
-4.914837703,5.812997069
-4.925209218,4.28065656
-4.933060792,1.895462345
,0
,0
,0
,0
,0
,0
,0
-5.028380322,8.262795846
-5.042861197,8.253817486
-5.051828763,8.250661395
-5.058341419,8.237871799
-5.075296508,8.244513582
-5.084514538,6.420518732
-5.090580458,6.134606863
-5.101007308,4.242659067
-5.109035155,1.782500985
,0
,0
,0
,0
,0
,0
,0
-5.204151012,8.274362116
-5.218625748,8.280093281
-5.227641295,8.266357686
-5.234128457,8.244778408
-5.251100878,8.239549729
-5.260320487,6.456387078
-5.266332065,6.172562393
-5.276791188,4.253654596
-5.284579244,1.917461215
,0
,0
,0
,0
,0
,0
,0
-5.379945143,8.291713365
-5.394410777,8.294688656
-5.403397836,8.287936394
-5.409884887,8.277370652
-5.427070614,6.771514096
-5.436089109,6.468344071
-5.442096519,6.180552933
-5.452564636,4.245659043
-5.460339023,1.926457364
,0
,0
,0
,0
,0
,0
,0
-5.555705236,8.302312631
-5.570214937,8.306370515
-5.579181137,8.307555621
-5.585673522,8.301067235
-5.602858404,6.688134125
-5.611847582,6.486281799
-5.617874605,6.22849678
-5.628349288,4.241659064
-5.636102377,1.931458609
,0
,0
,0
,0
,0
,0
,0
-5.73149494,8.309058449
-5.745972345,8.328758926
-5.75495962,8.321289682
-5.761466184,8.334646211
-5.778658723,6.588881073
-5.787651912,6.468344291
-5.793744773,5.93983908
-5.803989421,4.686624411
-5.811847087,1.956452913
,0
,0
,0
,0
,0
,0
,0
-5.907284611,8.337006501
-5.921748987,8.352110934
-5.930752205,8.342872796
-5.937235785,8.370195801
-5.954411515,6.599795957
-5.963428128,6.416538806
-5.969479945,5.987784494
-5.97975585,4.731623299
