Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m),phi
628,101,0,107,7565,610739000000.0,7.28006,0.420069,2.01167,0,0.05763740007014442,7.5645586624244645,37.28878382961141
804,109,1,100,7969,610739000000.0,7.7429,0.442866,1.8306,1,0.05713415012007554,7.968671599705687,38.359570442079466
726,118,2,88,5078,610739000000.0,4.97384,0.282834,0.982138,2,0.05680314152521978,5.077762742409298,39.42379692566999
801,121,3,133,5067,610739000000.0,4.9958,0.282949,0.796763,3,0.05657693137579759,5.066844092210653,40.47633375397178
398,101,4,148,4499,610739000000.0,4.45874,0.249858,0.545331,4,0.05597925737216959,4.4989084573177305,41.51891244103867
558,112,5,82,4412,610739000000.0,4.38913,0.244574,0.375591,5,0.05566509427781226,4.411955031236945,42.558241526932136
516,108,6,108,4380,610739000000.0,4.36801,0.242481,0.214434,6,0.05545600312941726,4.379987481239758,43.59690506411518
715,125,7,119,4020,610739000000.0,4.01358,0.221386,0.0507124,7,0.05510339488693799,4.020000985685172,44.63859666071956
62,11,8,64,1877,610739000000.0,1.87365,0.102839,-0.0443256,8,0.054831967543309774,1.8769935911548445,45.67658886228825
0,0,0,0,0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0
500,78,0,129,7638,610739000000.0,7.35277,0.379016,2.03112,16,0.051501792613206344,7.6375603601906805,37.28864220071982
809,109,1,93,7976,610739000000.0,7.75227,0.395696,1.83221,17,0.05099833912099166,7.975666678179072,38.359559155056594
770,121,2,101,5086,610739000000.0,4.98332,0.252707,0.983689,18,0.05066716895128084,5.085762784378563,39.42377604770342
821,122,3,133,5081,610739000000.0,5.01125,0.252988,0.798969,19,0.05044118799512164,5.08084451185086,40.47630846609965
405,101,4,146,4486,610739000000.0,4.4473,0.221851,0.543751,20,0.0498431075341131,4.485906854383181,41.518938322306965
363,98,5,107,4375,610739000000.0,4.35373,0.215811,0.372433,21,0.049528680736511004,4.374956644369176,42.558296184316504
426,102,6,110,4379,610739000000.0,4.36841,0.215626,0.214385,22,0.049320264288707075,4.378979496206965,43.596902780769305
588,117,7,249,4098,610739000000.0,4.09276,0.200577,0.0516993,23,0.048968581519398764,4.097998092745956,44.63857593306401
58,11,8,82,1815,610739000000.0,1.81234,0.0883162,-0.0428519,24,0.04869196312968773,1.8149965047117997,45.676436887751166
0,0,0,0,0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0
559,91,0,144,7719,610739000000.0,7.43295,0.337437,2.05269,32,0.0453663047673592,7.718558522649744,37.28852867948816
807,109,1,80,7997,610739000000.0,7.77497,0.349038,1.83705,33,0.04486239902678606,7.996670477695326,38.3595043011121
319,71,2,78,5040,610739000000.0,4.9397,0.220114,0.974771,34,0.04453073797791212,5.039768324579713,39.423902031523184
820,122,3,137,5091,610739000000.0,5.02257,0.222672,0.800546,35,0.04430526253735214,5.090841396331259,40.4762801019159
456,104,4,130,4455,610739000000.0,4.41784,0.193213,0.539983,36,0.0437068688205753,4.454910006864112,41.51900811919192
434,103,5,80,4353,610739000000.0,4.33307,0.188141,0.370554,37,0.0433925371253029,4.352953356940206,42.55833512640371
459,105,6,119,4365,610739000000.0,4.35568,0.188213,0.213697,38,0.04318406959284971,4.364978671606312,43.59691954389769
605,91,7,140,6376,610739000000.0,6.36964,0.27312,0.0805235,39,0.04285215524302419,6.3760012780779975,44.638191779444966
57,10,8,89,1859,610739000000.0,1.85679,0.079071,-0.0438977,40,0.04255906940219267,1.8589912143972842,45.676546162334674
0,0,0,0,0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0
